LAHONTAN,,,,,,,
YEAR,MONTH,STARTDAY,LENGTH,TD,T,S,RD
2004,6,1,30,2.1,23,29.02,26.2
2004,7,1,31,4.8,27.7,28.85,25.5
2004,8,1,31,5.3,24.2,23.97,24.3
2004,9,1,30,1.2,17.2,20.75,21.7
2004,10,1,31,0.8,10.3,12.23,20.1
2004,11,1,30,-2.4,3.8,9.17,20.0
2004,12,1,31,-3.8,1.9,6.14,20.9
2005,1,1,31,-3.4,-1.7,5,22.5
2005,2,1,28,-1.1,2.8,8.36,23.7
2005,3,1,31,-4.1,8,17.11,25.1
2005,4,1,30,-4.1,10.3,21.33,25.3
2005,5,1,31,2.6,15.8,23.44,25.2
2005,6,1,30,0.1,18.9,27.71,23.2
2005,7,1,31,7.8,28.3,28.39,23.6
2005,8,1,31,8.5,26.3,25.48,25.2
2005,9,1,30,2.3,16.2,21.23,25.2
2005,10,1,31,-0.3,11.4,14.6,23.8
2005,11,1,30,-4.2,6,9.95,22.5
2005,12,1,31,-3.1,1.6,6.2,23.4
2006,1,1,31,-3.6,2.2,7.72,25.3
2006,2,1,28,-6.2,2.7,13.32,24.3
2006,3,1,31,-5,4.2,16.13,22.9
2006,4,1,30,-0.2,10.7,21.02,23.6
2006,5,1,31,-0.3,17,26.93,23.0
2006,6,1,30,2.3,23.8,28.3,21.4
2006,7,1,31,5.4,28.2,26.61,21.8
2006,8,1,31,0.7,24.5,26.29,24.1
2006,9,1,30,-1,18.8,21.08,25.4
2006,10,1,31,-1.8,12.4,15.22,25.2
2006,11,1,30,-4,6.1,8.79,25.1
2006,12,1,31,-8,0,7.34,25.2
2007,1,1,31,-10.3,-1.7,9.63,25.3
2007,2,1,28,-6.1,4.3,11.89,25.3
2007,3,1,31,-6.2,8.6,18.36,24.9
2007,4,1,30,-2.7,11.7,19.89,24.4
2007,5,1,31,-2.6,17.7,25.75,24.5
2007,6,1,30,-1.1,22.6,28.65,25.3
2007,7,1,31,2.1,26.2,28.51,25.2
2007,8,1,31,1.6,23.3,25.27,22.5
2007,9,1,30,0,16.3,19.8,19.7
2007,10,1,31,-1.5,10,13.52,19.5
2007,11,1,30,-3.2,5.2,9.04,19.6
2007,12,1,31,-6.1,-0.2,6.7,19.7
2008,1,1,31,-5.6,-1.2,7.53,21.0
2008,2,1,29,-4.1,3.2,11.97,21.8
2008,3,1,31,-7.3,6.2,18.09,22.6
2008,4,1,30,-7.8,9,22.63,22.8
2008,5,1,31,0,14.1,20.76,21.9
2008,6,1,30,-1.6,19.9,29.25,23.1
2008,7,1,31,0.4,24.4,25.82,20.4
2008,8,1,31,1.7,23.8,25.77,18.5
2008,9,1,30,-1,18.1,21.15,14.2
2008,10,1,31,-3.1,11.1,14.16,11.3
2008,11,1,30,-0.6,6.1,8.82,13.4
2008,12,1,31,-7.2,-0.9,7.96,16.9
2009,1,1,31,-4.9,0.8,8.67,18.3
2009,2,1,28,-5.6,4.5,11.64,19.5
2009,3,1,31,-8.1,7.1,16.19,20.3
2009,4,1,30,-5.7,10,21.52,21.8
2009,5,1,31,-0.5,18.2,24.28,23.6
2009,6,1,30,4.4,18.8,25.2,25.2
2009,7,1,31,3.6,28.3,27.9,24.1
2009,8,1,31,4.3,24.7,24.14,20.3
2009,9,1,30,1.2,18.9,21.08,18.5
2009,10,1,31,-1.6,17.4,13.98,16.2
2009,11,1,30,-5.8,3.8,10.25,11.2
2009,12,1,31,-9.5,-5.6,7.57,14.3
